S2ID|Name|Instrument|IssuerID|ISOCountryCode|ISOCurrencyCode|RootID|StartDate|EndDate
CANHUF1|CANTECH VENTURES INC|STOCK|A43786|CAN|CAD|CANHUF1|20000228|20030821
CANHUF1|NEW CANTECH VENTURES INC|STOCK|A43786|CAN|CAD|CANHUF1|20030822|20080619
CANHUF1|NANIKA RESOURCES INC|STOCK|A43786|CAN|CAD|CANHUF1|20080620|20120705
CANHUF1|GOLDBAR RESOURCES INC|STOCK|A43786|CAN|CAD|CANHUF1|20120706|20751231
CANHUG1|CONSOLIDATED PETROQUIN RES LTD|STOCK|A64267|CAN|CAD|CANHUG1|19961231|20050710
CANHUG1|XEMPLAR ENERGY CORP|STOCK|A64267|CAN|CAD|CANHUG1|20050711|20751231
CANHUJ1|INLET DEVICES CORP|STOCK|A03335|CAN|CAD|CANHUJ1|19961231|20000430
CANHUJ1|SANGOMA COM INC|STOCK|A03335|CAN|CAD|CANHUJ1|20000501|20011114
CANHUJ1|SANGOMA TECHNOLOGIES CORP|STOCK|A03335|CAN|CAD|CANHUJ1|20011115|20751231
CANHUL1|PRT FOREST REGENERATION INM FD|STOCK|A57730|CAN|CAD|CANHUL1|19980713|20030629
CANHUL1|PRT FST REGENERATION INCOME FD|STOCK|A57730|CAN|CAD|CANHUL1|20030630|20121218
CANHUN1|AASTRA TECHNOLOGIES INC|STOCK|A43788|CAN|CAD|CANHUN1|19961231|20751231
CANHUO1|PACIFIC SAFETY PRODS INC|STOCK|A56048|CAN|CAD|CANHUO1|19961231|20751231
CANHUP1|MIGHTY BEAUT MINERALS INC|STOCK|A43789|CAN|CAD|CANHUP1|19961231|20080129
CANHUP1|MBMI RES INC|STOCK|A43789|CAN|CAD|CANHUP1|20080130|20751231
CANHUQ1|PATRIA RES LTD|STOCK|A56049|CAN|CAD|CANHUQ1|19961231|20030630
CANHUR1|PACIFIC TIGER ENERGY INC|STOCK|A56050|CAN|CAD|CANHUR1|19971217|20041229
CANHUR1|TIGER PETROLEUM INC|STOCK|A56050|CAN|CAD|CANHUR1|20041230|20051208
CANHUS1|PROTECTOR INDS LTD|STOCK|A43791|CAN|CAD|CANHUS1|19970328|20000413
CANHUS1|LIFE MEDICAL CORP|STOCK|A43791|CAN|CAD|CANHUS1|20000414|20020228
CANHUT1|PATRIOT EQUITIES GROUP INC|STOCK|A02924|CAN|CAD|CANHUT1|19980421|20020830
CANHUV1|GREAT BASIN GOLD LTD|CROSS_LIST|A01697|CAN|CAD|USAKIG1|19990112|20000727
CANHUV1|GREAT BASIN GOLD LTD|STOCK|A01697|CAN|CAD|CANHUV1|20000728|20121025
CANHUW1|PRAIRIE PAC ENERGY CORP|STOCK|A03047|CAN|CAD|CANHUW1|19990112|20060312
CANHUX1|BPI INDS INC|STOCK|A43792|CAN|CAD|CANHUX1|19961231|20060118
CANHUY1|CASSIDY GOLD CORP|STOCK|A43793|CAN|CAD|CANHUY1|19961231|20751231
CANHVA1|COLUMBIA COPPER CO LTD|STOCK|A43794|CAN|CAD|CANHVA1|19961231|20010927
CANHVA1|KODIAK OIL & GAS CORP|STOCK|A43794|CAN|CAD|CANHVA1|20010928|20070422
